Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,ID,cluster_assign,state,country,locality,latitude,longitude,dewlap_group,plot_order
0.07,0.16,0,0.77,0,0,BM260,Cluster_4,PA,Brazil,Belo_Monte_Vitoria_do_Xingu,-3.3244,-51.8587,P,75
0,0.11,0,0.89,0,0,BM261,Cluster_4,PA,Brazil,Belo_Monte_Vitoria_do_Xingu,-3.3244,-51.8587,P,76
0,0,0,1,0,0,BM527,Cluster_4,PA,Brazil,Belo_Monte_Anapu_site_A,-3.0919,-51.7772,U,74
0.04,0,0,0.96,0,0,BM690,Cluster_4,PA,Brazil,Belo_Monte_Anapu_site_B,-3.498,-51.6777,U,73
0.14,0.62,0.24,0,0,0,H0879,Cluster_2,RO,Brazil,Porto_Velho_Mutum_margem_direita,-9.6162,-65.0456,U,152
0.11,0.25,0.63,0.01,0,0,H1888,Cluster_3,RO,Brazil,Porto_Velho_Caicara_margem_esquerda,-9.4413,-64.8519,U,145
0.22,0.32,0.46,0,0,0,H1964,Cluster_3,RO,Brazil,Porto_Velho_Caicara_margem_esquerda,-9.4413,-64.8519,U,146
0.12,0.12,0.6,0.12,0.04,0.01,H4108,Cluster_3,RO,Brazil,Porto_Velho_Abuna_margem_esquerda,-9.6421,-65.4471,P,143
0.07,0.17,0.76,0,0,0,H4113,Cluster_3,RO,Brazil,Porto_Velho_Abuna_margem_esquerda,-9.6421,-65.4471,P,142
0,0.65,0.35,0,0,0,H4137,Cluster_2,RO,Brazil,Porto_Velho_Abuna_margem_direita,-9.5975,-65.3674,P,153
0.21,0.42,0.27,0,0.1,0.01,HJ0174,Cluster_2,RO,Brazil,Porto_Velho_Mutum_margem_direita,-9.6162,-65.0456,U,151
0,0,0,0,0,1,JFT726,Cluster_6,ES,Brazil,Santa_Teresa,-19.9654,-40.531,Y,31
0,0,0,1,0,0,LSUMZH12538a,Cluster_4,SU,Ecuador,Reserva_Faunistica_Cuyabeno_Neotropic_Turis,-0.2172,-75.8069,P,82
0,0,0,1,0,0,LSUMZH12545b,Cluster_4,SU,Ecuador,Reserva_Faunistica_Cuyabeno_Neotropic_Turis,-0.2172,-75.8069,P,81
0.19,0.43,0.38,0,0,0,LSUMZH14094,Cluster_2,AM,Brazil,Labrea_Rio_Ituxi_Madeirera_Scheffer,-8.3464,-65.7161,U,144
0.05,0.21,0,0.73,0,0,LSUMZH14327a,Cluster_4,PA,Brazil,Belterra_Agropecuaria_Treviso_LTDA,-3.1467,-54.8296,U,72
0.07,0.75,0.18,0,0,0,LSUMZH15471,Cluster_2,RO,Brazil,Nova_Mamore_PE_Guajara_Mirim,-10.3167,-64.55,U,150
0,0,0,0,0,1,MTR06037,Cluster_6,BA,Brazil,Jussari_Serra_do_Teimoso,-15.1547,-39.5233,U,24
0.2,0,0,0.25,0.39,0.15,MTR06262,Cluster_5,AP,Brazil,Rio_Maraca_Igarape_Camaipi,-0.0242,-51.8972,G,1
0,0,0,0.38,0.43,0.19,MTR06329,Cluster_5,AP,Brazil,Rio_Maraca_Igarape_Camaipi,-0.0242,-51.8972,G,2
0,0,0,0,0,1,MTR12159,Cluster_6,ES,Brazil,Linhares_Floresta_Nacional_de_Goytacazes,-19.4483,-40.0804,Y,29
0,0,0,0,0,1,MTR12298,Cluster_6,ES,Brazil,Linhares_Floresta_Nacional_de_Goytacazes,-19.4483,-40.0804,Y,30
0,0.09,0,0.84,0.02,0.06,MTR12860,Cluster_4,AM,Brazil,Maruim_Sao_Sebastiao_Rio_Abacaxis,-4.3089,-58.6364,Y,70
0,0.08,0,0.92,0,0,MTR13088,Cluster_4,AM,Brazil,Pacamiri_Rio_Abacaxis,-4.5969,-58.2206,U,69
0,0.09,0,0.88,0,0.02,MTR13253,Cluster_4,AM,Brazil,Maruim_Sao_Sebastiao_Rio_Abacaxis,-4.3089,-58.6364,Y,71
0,0,0,0,0,1,MTR13628,Cluster_6,BA,Brazil,Camacan_Fazenda_Sao_Carlos,-15.3799,-39.5424,U,25
0,0,0.01,0.99,0,0,MTR18729,Cluster_4,AM,Brazil,Lago_Chaviana_Itapuru_margem_direita_Rio_Purus,-4.3094,-61.8148,G,58
0.12,0,0.01,0.87,0,0,MTR18813,Cluster_4,AM,Brazil,Lago_Chaviana_Itapuru_margem_direita_Rio_Purus,-4.3094,-61.8148,G,57
0,0,0.03,0.97,0,0,MTR18816,Cluster_4,AM,Brazil,Lago_Chaviana_Itapuru_margem_direita_Rio_Purus,-4.3094,-61.8148,G,56
0.22,0,0.02,0.76,0,0,MTR18870,Cluster_4,AM,Brazil,Lago_Chaviana_Itapuru_margem_direita_Rio_Purus,-4.3094,-61.8148,G,59
0.03,0,0.01,0.96,0,0,MTR18994,Cluster_4,AM,Brazil,Moiobamba_margem_direita_Rio_Purus,-4.7251,-62.1318,Y,65
0,0,0,1,0,0,MTR19062,Cluster_4,AM,Brazil,Moiobamba_margem_direita_Rio_Purus,-4.7251,-62.1318,Y,63
0.07,0,0,0.93,0,0,MTR19178,Cluster_4,AM,Brazil,Moiobamba_margem_direita_Rio_Purus,-4.7251,-62.1318,Y,64
0.02,0,0.05,0.93,0,0,MTR19188,Cluster_4,AM,Brazil,Moiobamba_margem_direita_Rio_Purus,-4.7251,-62.1318,Y,62
0,0,0,1,0,0,MTR19231,Cluster_4,AM,Brazil,Moiobamba_margem_direita_Rio_Purus,-4.7251,-62.1318,Y,66
0,0,0,0,1,0,MTR20711,Cluster_5,RR,Brazil,Pacaraima,4.4955,-61.1686,P,9
0,0,0,0,1,0,MTR20736,Cluster_5,RR,Brazil,Pacaraima,4.4955,-61.1686,P,11
0,0,0,0,1,0,MTR20738,Cluster_5,RR,Brazil,Pacaraima,4.4955,-61.1686,P,10
0,0,0,0,0,1,MTR21992,Cluster_6,BA,Brazil,Estacao_Ecologica_Estadual_Wenceslau_Guimaraes_EEEWG,-13.5785,-39.7086,G,22
0,0,0,0,0,1,MTR22009,Cluster_6,BA,Brazil,Estacao_Ecologica_Estadual_Wenceslau_Guimaraes_EEEWG,-13.5785,-39.7086,G,23
0,0,0,0,1,0,MTR23059,Cluster_5,RR,Brazil,Serra_da_Maroquinha,2.3714,-61.376,U,15
0,0,0,0,1,0,MTR23096,Cluster_5,RR,Brazil,Serra_da_Maroquinha,2.3714,-61.376,U,14
0,0,0,0,1,0,MTR23120,Cluster_5,RR,Brazil,Serra_da_Maroquinha,2.3714,-61.376,U,18
0,0,0,0,1,0,MTR23155,Cluster_5,RR,Brazil,Serra_da_Maroquinha,2.3714,-61.376,U,17
0,0,0,0,1,0,MTR23156,Cluster_5,RR,Brazil,Serra_da_Maroquinha,2.3714,-61.376,U,16
0,0,0,0,0.55,0.45,MTR24119,Cluster_5,AP,Brazil,Oiapoque,3.8794,-51.771,U,21
0.01,0.09,0,0,0.42,0.48,MTR24137,Cluster_6,AP,Brazil,Oiapoque,3.8794,-51.771,U,19
0,0,0,0,0.51,0.49,MTR24167,Cluster_5,AP,Brazil,Oiapoque,3.8794,-51.771,U,20
0,1,0,0,0,0,MTR25524,Cluster_2,RO,Brazil,PN_Pacaas_Novos,-10.7692,-63.6225,U,159
0,1,0,0,0,0,MTR25537,Cluster_2,RO,Brazil,PN_Pacaas_Novos,-10.7692,-63.6225,U,162
0,1,0,0,0,0,MTR25538,Cluster_2,RO,Brazil,PN_Pacaas_Novos,-10.7692,-63.6225,U,161
0,1,0,0,0,0,MTR25597,Cluster_2,RO,Brazil,PN_Pacaas_Novos,-10.7692,-63.6225,U,154
0,1,0,0,0,0,MTR25668,Cluster_2,RO,Brazil,PN_Pacaas_Novos,-10.7692,-63.6225,U,160
0.07,0.86,0.07,0,0,0,MTR25978,Cluster_2,RO,Brazil,PN_Pacaas_Novos_base_Jaci,-10.5275,-63.9734,G,157
0,1,0,0,0,0,MTR25984,Cluster_2,RO,Brazil,PN_Pacaas_Novos_base_Jaci,-10.5275,-63.9734,G,158
0,1,0,0,0,0,MTR25985,Cluster_2,RO,Brazil,PN_Pacaas_Novos_base_Jaci,-10.5275,-63.9734,G,156
0,1,0,0,0,0,MTR26007,Cluster_2,RO,Brazil,PN_Pacaas_Novos_base_Jaci,-10.5275,-63.9734,G,155
1,0,0,0,0,0,MTR28056,Cluster_1,AC,Brazil,Serra_do_Divisor_Pe_da_Serra,-7.4398,-73.6594,G,111
1,0,0,0,0,0,MTR28194,Cluster_1,AC,Brazil,Serra_do_Divisor_Pe_da_Serra,-7.4398,-73.6594,G,112
1,0,0,0,0,0,MTR28201,Cluster_1,AC,Brazil,Serra_do_Divisor_Pe_da_Serra,-7.4398,-73.6594,G,117
1,0,0,0,0,0,MTR28206,Cluster_1,AC,Brazil,Serra_do_Divisor_Pe_da_Serra,-7.4398,-73.6594,G,113
1,0,0,0,0,0,MTR28368,Cluster_1,AC,Brazil,Serra_do_Divisor_face_Oeste,-7.5031,-73.7208,U,116
1,0,0,0,0,0,MTR28392,Cluster_1,AC,Brazil,Serra_do_Divisor_face_Oeste,-7.5031,-73.7208,U,109
1,0,0,0,0,0,MTR28393,Cluster_1,AC,Brazil,Serra_do_Divisor_face_Oeste,-7.5031,-73.7208,U,118
1,0,0,0,0,0,MTR28413,Cluster_1,AC,Brazil,Serra_do_Divisor_face_Oeste,-7.5031,-73.7208,U,114
1,0,0,0,0,0,MTR28414,Cluster_1,AC,Brazil,Serra_do_Divisor_face_Oeste,-7.5031,-73.7208,U,115
0.01,0,0.99,0,0,0,MTR28534,Cluster_3,AM,Brazil,Boca_do_Acre_ramal_bode_preto,-9.005,-67.1815,P,123
0.02,0.01,0.97,0,0,0,MTR28535,Cluster_3,AM,Brazil,Boca_do_Acre_ramal_bode_preto,-9.005,-67.1815,P,119
0.03,0,0.97,0,0,0,MTR28538,Cluster_3,AM,Brazil,Boca_do_Acre_ramal_bode_preto,-9.005,-67.1815,P,124
0,0,1,0,0,0,MTR28563,Cluster_3,AM,Brazil,Boca_do_Acre_ramal_Cruzeirinho,-8.7598,-67.3089,P,122
0,0,1,0,0,0,MTR28564,Cluster_3,AM,Brazil,Boca_do_Acre_ramal_Cruzeirinho,-8.7598,-67.3089,P,121
0.04,0,0.96,0,0,0,MTR28565,Cluster_3,AM,Brazil,Boca_do_Acre_ramal_Cruzeirinho,-8.7598,-67.3089,P,120
0,0,1,0,0,0,MTR28576,Cluster_3,AC,Brazil,Senador_Guiomard_Fazenda_Experimental_Catuaba,-10.0834,-67.6278,P,130
0,0,1,0,0,0,MTR28577,Cluster_3,AC,Brazil,Senador_Guiomard_Fazenda_Experimental_Catuaba,-10.0834,-67.6278,P,128
0,0,1,0,0,0,MTR28578,Cluster_3,AC,Brazil,Senador_Guiomard_Fazenda_Experimental_Catuaba,-10.0834,-67.6278,P,129
0,0,1,0,0,0,MTR28579,Cluster_3,AC,Brazil,Senador_Guiomard_Fazenda_Experimental_Catuaba,-10.0834,-67.6278,P,127
0,0.72,0.28,0,0,0,MTR28680,Cluster_2,AM,Brazil,FLONA_Humaita_Igarape_Buiussu,-7.616,-62.8833,U,147
0,0,0,0,0,1,MTR33060,Cluster_6,BA,Brazil,Canavieiras,-15.6805,-38.9965,U,35
0,0,0,0,0,1,MTR33061,Cluster_6,BA,Brazil,Canavieiras,-15.6805,-38.9965,U,37
0,0,0,0,0,1,MTR33063,Cluster_6,BA,Brazil,Canavieiras,-15.6805,-38.9965,U,36
0,0,0,0,0,1,MTR33431,Cluster_6,BA,Brazil,PE_serra_do_Conduru,-14.4967,-39.1336,U,27
0,0,0,0,0,1,MTR34156,Cluster_6,BA,Brazil,Barrolandia_EE_Gregorio_Bondar_CEPLAN,-16.0942,-39.2157,Y,41
0,0,0,0,0,1,MTR34236,Cluster_6,BA,Brazil,Barrolandia_EE_Gregorio_Bondar_CEPLAN,-16.0942,-39.2157,Y,40
0,0,0,0,0,1,MTR34394,Cluster_6,BA,Brazil,Porto_Seguro_Estacao_Veracel,-16.3539,-39.1351,U,38
0,0,0,0,0,1,MTR34395,Cluster_6,BA,Brazil,Porto_Seguro_Estacao_Veracel,-16.3539,-39.1351,U,42
0.04,0,0,0,0,0.96,MTR34472,Cluster_6,BA,Brazil,Barrolandia_EE_Gregorio_Bondar_CEPLAN,-16.0942,-39.2157,Y,39
0,0,0,0,0,1,MTR34501,Cluster_6,BA,Brazil,Itapebi_Fazenda_Boa_Sorte,-15.89,-39.5308,U,34
0.02,0,0.04,0,0,0.94,MTR34595,Cluster_6,BA,Brazil,Santa_Maria_Eterna_Lagoa_do_Jacare,-15.936,-39.5266,U,33
0,0,0,0,0,1,MTR35000,Cluster_6,BA,Brazil,PE_serra_do_Conduru,-14.4967,-39.1336,U,28
0.19,0.01,0.08,0.72,0,0,MTR35696,Cluster_4,AM,Brazil,Alvaraes,-3.2103,-64.8053,G,95
0.22,0,0.11,0.67,0,0,MTR35697,Cluster_4,AM,Brazil,Alvaraes,-3.2103,-64.8053,G,94
0.18,0.07,0.06,0.69,0,0,MTR35698,Cluster_4,AM,Brazil,Alvaraes,-3.2103,-64.8053,G,96
0.28,0,0.15,0.56,0,0,MTR35702,Cluster_4,AM,Brazil,Alvaraes,-3.2103,-64.8053,G,93
0.4,0,0.03,0.58,0,0,MTR35709,Cluster_4,AM,Brazil,Alvaraes,-3.2103,-64.8053,G,92
0,0,0,1,0,0,MTR35861,Cluster_4,AM,Brazil,Rio_Ica_Comunidade_Cachoeirinha,-2.8842,-68.3499,P,87
0,0,0,1,0,0,MTR35895,Cluster_4,AM,Brazil,Rio_Ica_Comunidade_Cachoeirinha,-2.8842,-68.3499,P,85
0,0,0,1,0,0,MTR35939,Cluster_4,AM,Brazil,Rio_Ica_Comunidade_Cachoeirinha,-2.8842,-68.3499,P,90
0,0,0,1,0,0,MTR35968,Cluster_4,AM,Brazil,Rio_Ica_Comunidade_Cachoeirinha,-2.8842,-68.3499,P,84
0,0,0,1,0,0,MTR36074,Cluster_4,AM,Brazil,Rio_Ica_Comunidade_Cuiaua,-2.8836,-68.3677,U,89
0,0,0,1,0,0,MTR36086,Cluster_4,AM,Brazil,Rio_Ica_Acai,-2.9049,-68.3398,U,91
0,0,0,1,0,0,MTR36139,Cluster_4,AM,Brazil,Rio_Ica_Acai,-2.9049,-68.3398,U,86
0,0,0,1,0,0,MTR36275,Cluster_4,AM,Brazil,Rio_Ica_Comunidade_Cachoeirinha,-2.8842,-68.3499,P,88
0,0,0,1,0,0,MTR36477,Cluster_4,AM,Brazil,Rio_Ica_Sao_Pedro,-3.0286,-68.8826,G,79
0,0,0,1,0,0,MTR36540,Cluster_4,AM,Brazil,Rio_Ica_Sao_Pedro,-3.0286,-68.8826,G,80
0,0,0,1,0,0,MTR36731,Cluster_4,AM,Brazil,Rio_Ica_Sao_Pedro,-3.0286,-68.8826,G,78
0.29,0,0,0.69,0.03,0,MTR36732,Cluster_4,AM,Brazil,Rio_Ica_Sao_Pedro,-3.0286,-68.8826,G,83
0,0,0,1,0,0,MTR36746,Cluster_4,AM,Brazil,Rio_Ica_Sao_Pedro,-3.0286,-68.8826,G,77
0.03,0,0.03,0.94,0,0,MTR36819,Cluster_4,AM,Brazil,Fonte_Boa,-2.528,-66.162,Y,49
0,0,0,1,0,0,MTR36859,Cluster_4,AM,Brazil,Fonte_Boa,-2.528,-66.162,Y,50
0.09,0,0,0.91,0,0,MTR36879,Cluster_4,AM,Brazil,Fonte_Boa,-2.528,-66.162,Y,51
0.01,0,0,0.99,0,0,MTR36939,Cluster_4,AM,Brazil,Tefe,-3.449,-64.6831,Y,53
0.18,0,0,0.82,0,0,MTR36940,Cluster_4,AM,Brazil,Tefe,-3.449,-64.6831,Y,52
0.09,0,0,0.91,0,0,MTR36941,Cluster_4,AM,Brazil,Tefe,-3.449,-64.6831,Y,55
0,0,0.05,0.95,0,0,MTR36942,Cluster_4,AM,Brazil,Tefe,-3.449,-64.6831,Y,54
0,0,0,1,0,0,MTR36971,Cluster_4,AM,Brazil,Coari,-4.0868,-63.0968,P,61
0,0.01,0.12,0.87,0,0,MTR37027,Cluster_4,AM,Brazil,Coari,-4.0868,-63.0968,P,60
0,0,0,0,0,1,MTR37287,Cluster_6,ES,Brazil,Santa_Teresa,-19.9654,-40.531,Y,32
0,0,0,0,0.98,0.02,MTR40119,Cluster_5,AM,Brazil,Maturaca,0.6251,-66.1329,P,6
0,0.04,0,0.02,0.94,0,MTR40374,Cluster_5,AM,Brazil,Maturaca,0.6251,-66.1329,P,4
0,0,0,0,1,0,MTR40382,Cluster_5,AM,Brazil,Maturaca,0.6251,-66.1329,P,5
0,0,0,1,0,0,MTR40847,Cluster_4,AM,Brazil,Cacauali,-1.4325,-61.8267,G,48
0,0,0.01,0.99,0,0,MTR40904,Cluster_4,AM,Brazil,Cacauali,-1.4325,-61.8267,G,46
0,0,0,1,0,0,MTR40906,Cluster_4,AM,Brazil,Cacauali,-1.4325,-61.8267,G,44
0,0,0,1,0,0,MTR40916,Cluster_4,AM,Brazil,Cacauali,-1.4325,-61.8267,G,45
0,0,0,0,1,0,MTR41431,Cluster_5,AM,Brazil,Rio_Inhambu,-0.2334,-65.4168,U,7
0,0,0,0,1,0,MTR41440,Cluster_5,AM,Brazil,Rio_Inhambu,-0.2334,-65.4168,U,8
0,0,0,1,0,0,MTR41563,Cluster_4,AM,Brazil,Cacauali,-1.4325,-61.8267,G,47
0.04,0.21,0.11,0.62,0.01,0.01,MTR967911,Cluster_4,MT,Brazil,Aripuana,-9.8603,-60.2631,U,68
0,0.97,0,0.03,0,0,MTR977706,Cluster_2,MT,Brazil,Aripuana,-9.8603,-60.2631,U,148
0,0,0,0,0,1,PEU488,Cluster_6,BA,Brazil,Ilheus,-14.7972,-39.0344,U,26
0,0,1,0,0,0,PRMS498,Cluster_3,AC,Brazil,Senador_Guiomard_Fazenda_Experimental_Catuaba,-10.0834,-67.6278,P,131
0,0,1,0,0,0,PRMS499,Cluster_3,AC,Brazil,Senador_Guiomard_Fazenda_Experimental_Catuaba,-10.0834,-67.6278,P,125
0,0,1,0,0,0,PRMS501,Cluster_3,AC,Brazil,Senador_Guiomard_Fazenda_Experimental_Catuaba,-10.0834,-67.6278,P,126
0,0,1,0,0,0,PRMS525,Cluster_3,AC,Brazil,Porto_Acre_Reserva_Florestal_Humaita,-9.7445,-67.6784,Y,138
0,0,1,0,0,0,PRMS528,Cluster_3,AC,Brazil,Porto_Acre_Reserva_Florestal_Humaita,-9.7445,-67.6784,Y,137
0,0,1,0,0,0,PRMS530,Cluster_3,AC,Brazil,Porto_Acre_Reserva_Florestal_Humaita,-9.7445,-67.6784,Y,140
0,0,1,0,0,0,PRMS538,Cluster_3,AC,Brazil,Porto_Acre_Reserva_Florestal_Humaita,-9.7445,-67.6784,Y,139
0,0,1,0,0,0,PRMS539,Cluster_3,AC,Brazil,Porto_Acre_Reserva_Florestal_Humaita,-9.7445,-67.6784,Y,141
0,0,1,0,0,0,PRMS587,Cluster_3,AC,Brazil,Rio_Branco_Parque_Zoobotanico,-9.9561,-67.8725,Y,135
0,0,1,0,0,0,PRMS588,Cluster_3,AC,Brazil,Rio_Branco_Parque_Zoobotanico,-9.9561,-67.8725,Y,134
0,0,1,0,0,0,PRMS589,Cluster_3,AC,Brazil,Rio_Branco_Parque_Zoobotanico,-9.9561,-67.8725,Y,136
0,0,1,0,0,0,PRMS590,Cluster_3,AC,Brazil,Rio_Branco_Parque_Zoobotanico,-9.9561,-67.8725,Y,133
0,0,1,0,0,0,PRMS700,Cluster_3,AC,Brazil,Rio_Branco_Parque_Zoobotanico,-9.9561,-67.8725,Y,132
1,0,0,0,0,0,PRMS734,Cluster_1,AC,Brazil,Mancio_Lima_Estrada_do_Lixao,-7.6813,-72.9688,G,101
1,0,0,0,0,0,PRMS751,Cluster_1,AC,Brazil,Mancio_Lima_Estrada_do_Lixao,-7.6813,-72.9688,G,102
1,0,0,0,0,0,PRMS766,Cluster_1,AC,Brazil,Cruzeiro_do_Sul_Vila_de_Sao_Pedro,-7.7014,-72.7413,G,104
0.97,0.02,0.01,0,0,0,PRMS767,Cluster_1,AC,Brazil,Cruzeiro_do_Sul_Vila_de_Sao_Pedro,-7.7014,-72.7413,G,106
1,0,0,0,0,0,PRMS768,Cluster_1,AC,Brazil,Cruzeiro_do_Sul_Vila_de_Sao_Pedro,-7.7014,-72.7413,G,105
0.99,0,0.01,0,0.01,0,PRMS769,Cluster_1,AC,Brazil,Cruzeiro_do_Sul_Vila_de_Sao_Pedro,-7.7014,-72.7413,G,103
1,0,0,0,0,0,PRMS795,Cluster_1,AC,Brazil,Mancio_Lima_Estrada_BR307_limite_Acre_Amazonas,-7.3857,-73.0627,G,108
0.89,0.1,0,0,0.02,0,PRMS796,Cluster_1,AC,Brazil,Mancio_Lima_Estrada_BR307_limite_Acre_Amazonas,-7.3857,-73.0627,G,110
1,0,0,0,0,0,PRMS799,Cluster_1,AC,Brazil,Mancio_Lima_Estrada_BR307_limite_Acre_Amazonas,-7.3857,-73.0627,G,107
1,0,0,0,0,0,PRMS845,Cluster_1,AC,Brazil,Cruzeiro_do_Sul_Programa_de_Assentamento_Dirigido_Santa_Luzia,-7.8639,-72.417,P,100
1,0,0,0,0,0,PRMS852,Cluster_1,AC,Brazil,Cruzeiro_do_Sul_Programa_de_Assentamento_Dirigido_Santa_Luzia,-7.8639,-72.417,P,98
1,0,0,0,0,0,PRMS859,Cluster_1,AC,Brazil,Cruzeiro_do_Sul_Programa_de_Assentamento_Dirigido_Santa_Luzia,-7.8639,-72.417,P,97
1,0,0,0,0,0,PRMS860,Cluster_1,AC,Brazil,Cruzeiro_do_Sul_Programa_de_Assentamento_Dirigido_Santa_Luzia,-7.8639,-72.417,P,99
0.14,0,0.01,0.78,0.04,0.03,RF23,Cluster_4,AM,Brazil,Silves,-2.8308,-58.2154,U,43
0,0,0,1,0,0,RF73,Cluster_4,AM,Brazil,Itapiranga,-2.7434,-58.1763,U,67
0,1,0,0,0,0,SMS473,Cluster_2,PA,Brazil,Itaituba_FLONA_do_Trairao_Ramal_do_80,-4.5251,-55.2401,U,149
0,0,0,0.31,0.44,0.25,SMS608,Cluster_5,AM,Brazil,Sao_Sebastiao_dos_Bargas,-3.7894,-59.034,U,3
0,0,0,0,1,0,SMS941,Cluster_5,RR,Brazil,Iracema_Serra_do_Apiau,2.4334,-61.4138,U,12
0,0,0,0,1,0,SMS963,Cluster_5,RR,Brazil,Iracema_Serra_do_Apiau,2.4334,-61.4138,U,13
