ID,genus,species,genus_species,dewlap_known,dewlap_group,country,state,locality,latitude,longitude,georeference_status,georeference_source
BM260,Anolis,fuscoauratus,Anolis_fuscoauratus,2,P,Brazil,PA,Belo_Monte_Vitoria_do_Xingu,-3.3244,-51.8587,Approximate_from_collector,Miguel_Trefaut_Rodrigues
BM261,Anolis,fuscoauratus,Anolis_fuscoauratus,2,P,Brazil,PA,Belo_Monte_Vitoria_do_Xingu,-3.3244,-51.8587,Approximate_from_collector,Miguel_Trefaut_Rodrigues
BM527,Anolis,fuscoauratus,Anolis_fuscoauratus,1,U,Brazil,PA,Belo_Monte_Anapu_site_A,-3.0919,-51.7772,Accurate_from_collector,Miguel_Trefaut_Rodrigues
BM690,Anolis,fuscoauratus,Anolis_fuscoauratus,1,U,Brazil,PA,Belo_Monte_Anapu_site_B,-3.498,-51.6777,Accurate_from_collector,Miguel_Trefaut_Rodrigues
H0805,Anolis,fuscoauratus,Anolis_fuscoauratus,1,U,Brazil,RO,Porto_Velho_Caicara_margem_esquerda,-9.4413,-64.8519,Approximate_from_collector,Miguel_Trefaut_Rodrigues
H0879,Anolis,fuscoauratus,Anolis_fuscoauratus,1,U,Brazil,RO,Porto_Velho_Mutum_margem_direita,-9.6162,-65.0456,Approximate_from_collector,Miguel_Trefaut_Rodrigues
H1888,Anolis,fuscoauratus,Anolis_fuscoauratus,1,U,Brazil,RO,Porto_Velho_Caicara_margem_esquerda,-9.4413,-64.8519,Approximate_from_collector,Miguel_Trefaut_Rodrigues
H1964,Anolis,fuscoauratus,Anolis_fuscoauratus,1,U,Brazil,RO,Porto_Velho_Caicara_margem_esquerda,-9.4413,-64.8519,Accurate_from_collector,Miguel_Trefaut_Rodrigues
H4108,Anolis,fuscoauratus,Anolis_fuscoauratus,2,P,Brazil,RO,Porto_Velho_Abuna_margem_esquerda,-9.6421,-65.4471,Accurate_from_collector,Miguel_Trefaut_Rodrigues
H4109,Anolis,fuscoauratus,Anolis_fuscoauratus,2,P,Brazil,RO,Porto_Velho_Abuna_margem_direita,-9.5975,-65.3674,Accurate_from_collector,Miguel_Trefaut_Rodrigues
H4113,Anolis,fuscoauratus,Anolis_fuscoauratus,2,P,Brazil,RO,Porto_Velho_Abuna_margem_esquerda,-9.6421,-65.4471,Approximate_from_collector,Miguel_Trefaut_Rodrigues
H4137,Anolis,fuscoauratus,Anolis_fuscoauratus,2,P,Brazil,RO,Porto_Velho_Abuna_margem_direita,-9.5975,-65.3674,Approximate_from_collector,Miguel_Trefaut_Rodrigues
HJ0174,Anolis,fuscoauratus,Anolis_fuscoauratus,1,U,Brazil,RO,Porto_Velho_Mutum_margem_direita,-9.6162,-65.0456,Accurate_from_collector,Miguel_Trefaut_Rodrigues
JFT726,Anolis,fuscoauratus,Anolis_fuscoauratus,2,Y,Brazil,ES,Santa_Teresa,-19.9654,-40.531,Approximate_from_collector,Miguel_Trefaut_Rodrigues
LSUMZH12538a,Anolis,fuscoauratus,Anolis_fuscoauratus,2,P,Ecuador,SU,Reserva_Faunistica_Cuyabeno_Neotropic_Turis,-0.2172,-75.8069,Approximate_from_online_source,Google_Maps_center_of_municipality
LSUMZH12545b,Anolis,fuscoauratus,Anolis_fuscoauratus,2,P,Ecuador,SU,Reserva_Faunistica_Cuyabeno_Neotropic_Turis,-0.2172,-75.8069,Approximate_from_online_source,Google_Maps_center_of_municipality
LSUMZH14094,Anolis,fuscoauratus,Anolis_fuscoauratus,1,U,Brazil,AM,Labrea_Rio_Ituxi_Madeirera_Scheffer,-8.3464,-65.7161,Accurate_from_collector,LSU_Vitt
LSUMZH14327a,Anolis,fuscoauratus,Anolis_fuscoauratus,1,U,Brazil,PA,Belterra_Agropecuaria_Treviso_LTDA,-3.1467,-54.8296,Accurate_from_collector,LSU_Vitt
LSUMZH15471,Anolis,fuscoauratus,Anolis_fuscoauratus,1,U,Brazil,RO,Nova_Mamore_PE_Guajara_Mirim,-10.3167,-64.55,Approximate_from_collector,LSU_Vitt
MTR06037,Anolis,fuscoauratus,Anolis_fuscoauratus,1,U,Brazil,BA,Jussari_Serra_do_Teimoso,-15.1547,-39.5233,Approximate_from_collector,Miguel_Trefaut_Rodrigues
MTR06262,Anolis,fuscoauratus,Anolis_fuscoauratus,2,G,Brazil,AP,Rio_Maraca_Igarape_Camaipi,-0.0242,-51.8972,Approximate_from_collector,Miguel_Trefaut_Rodrigues
MTR06329,Anolis,fuscoauratus,Anolis_fuscoauratus,2,G,Brazil,AP,Rio_Maraca_Igarape_Camaipi,-0.0242,-51.8972,Approximate_from_collector,Miguel_Trefaut_Rodrigues
MTR12159,Anolis,fuscoauratus,Anolis_fuscoauratus,2,Y,Brazil,ES,Linhares_Floresta_Nacional_de_Goytacazes,-19.4483,-40.0804,Approximate_from_online_source,Google_Earth
MTR12298,Anolis,fuscoauratus,Anolis_fuscoauratus,2,Y,Brazil,ES,Linhares_Floresta_Nacional_de_Goytacazes,-19.4483,-40.0804,Approximate_from_online_source,Google_Earth
MTR12860,Anolis,fuscoauratus,Anolis_fuscoauratus,2,Y,Brazil,AM,Maruim_Sao_Sebastiao_Rio_Abacaxis,-4.3089,-58.6364,Accurate_from_collector,Miguel_Trefaut_Rodrigues
MTR13088,Anolis,fuscoauratus,Anolis_fuscoauratus,1,U,Brazil,AM,Pacamiri_Rio_Abacaxis,-4.5969,-58.2206,Accurate_from_collector,Miguel_Trefaut_Rodrigues
MTR13253,Anolis,fuscoauratus,Anolis_fuscoauratus,2,Y,Brazil,AM,Maruim_Sao_Sebastiao_Rio_Abacaxis,-4.3089,-58.6364,Accurate_from_collector,Miguel_Trefaut_Rodrigues
MTR13628,Anolis,fuscoauratus,Anolis_fuscoauratus,1,U,Brazil,BA,Camacan_Fazenda_Sao_Carlos,-15.3799,-39.5424,Accurate_from_collector,Miguel_Trefaut_Rodrigues
MTR18729,Anolis,fuscoauratus,Anolis_fuscoauratus,2,G,Brazil,AM,Lago_Chaviana_Itapuru_margem_direita_Rio_Purus,-4.3094,-61.8148,Approximate_from_collector,Miguel_Trefaut_Rodrigues
MTR18813,Anolis,fuscoauratus,Anolis_fuscoauratus,2,G,Brazil,AM,Lago_Chaviana_Itapuru_margem_direita_Rio_Purus,-4.3094,-61.8148,Approximate_from_collector,Miguel_Trefaut_Rodrigues
MTR18816,Anolis,fuscoauratus,Anolis_fuscoauratus,2,G,Brazil,AM,Lago_Chaviana_Itapuru_margem_direita_Rio_Purus,-4.3094,-61.8148,Accurate_from_collector,Miguel_Trefaut_Rodrigues
MTR18870,Anolis,fuscoauratus,Anolis_fuscoauratus,2,G,Brazil,AM,Lago_Chaviana_Itapuru_margem_direita_Rio_Purus,-4.3094,-61.8148,Approximate_from_collector,Miguel_Trefaut_Rodrigues
MTR18994,Anolis,fuscoauratus,Anolis_fuscoauratus,2,Y,Brazil,AM,Moiobamba_margem_direita_Rio_Purus,-4.7251,-62.1318,Approximate_from_collector,Miguel_Trefaut_Rodrigues
MTR19062,Anolis,fuscoauratus,Anolis_fuscoauratus,2,Y,Brazil,AM,Moiobamba_margem_direita_Rio_Purus,-4.7251,-62.1318,Accurate_from_collector,Miguel_Trefaut_Rodrigues
MTR19178,Anolis,fuscoauratus,Anolis_fuscoauratus,2,Y,Brazil,AM,Moiobamba_margem_direita_Rio_Purus,-4.7251,-62.1318,Approximate_from_collector,Miguel_Trefaut_Rodrigues
MTR19188,Anolis,fuscoauratus,Anolis_fuscoauratus,2,Y,Brazil,AM,Moiobamba_margem_direita_Rio_Purus,-4.7251,-62.1318,Approximate_from_collector,Miguel_Trefaut_Rodrigues
MTR19231,Anolis,fuscoauratus,Anolis_fuscoauratus,2,Y,Brazil,AM,Moiobamba_margem_direita_Rio_Purus,-4.7251,-62.1318,Accurate_from_collector,Miguel_Trefaut_Rodrigues
MTR20711,Anolis,fuscoauratus,Anolis_fuscoauratus,2,P,Brazil,RR,Pacaraima,4.4955,-61.1686,Accurate_from_collector,Miguel_Trefaut_Rodrigues
MTR20736,Anolis,fuscoauratus,Anolis_fuscoauratus,2,P,Brazil,RR,Pacaraima,4.4955,-61.1686,Accurate_from_collector,Miguel_Trefaut_Rodrigues
MTR20738,Anolis,fuscoauratus,Anolis_fuscoauratus,2,P,Brazil,RR,Pacaraima,4.4955,-61.1686,Accurate_from_collector,Miguel_Trefaut_Rodrigues
MTR21992,Anolis,fuscoauratus,Anolis_fuscoauratus,2,G,Brazil,BA,Estacao_Ecologica_Estadual_Wenceslau_Guimaraes_EEEWG,-13.5785,-39.7086,Approximate_from_collector,Miguel_Trefaut_Rodrigues
MTR22009,Anolis,fuscoauratus,Anolis_fuscoauratus,2,G,Brazil,BA,Estacao_Ecologica_Estadual_Wenceslau_Guimaraes_EEEWG,-13.5785,-39.7086,Accurate_from_collector,Miguel_Trefaut_Rodrigues
MTR23059,Anolis,fuscoauratus,Anolis_fuscoauratus,1,U,Brazil,RR,Serra_da_Maroquinha,2.3714,-61.376,Approximate_from_collector,Miguel_Trefaut_Rodrigues
MTR23096,Anolis,fuscoauratus,Anolis_fuscoauratus,1,U,Brazil,RR,Serra_da_Maroquinha,2.3714,-61.376,Approximate_from_collector,Miguel_Trefaut_Rodrigues
MTR23120,Anolis,fuscoauratus,Anolis_fuscoauratus,1,U,Brazil,RR,Serra_da_Maroquinha,2.3714,-61.376,Accurate_from_collector,Miguel_Trefaut_Rodrigues
MTR23155,Anolis,fuscoauratus,Anolis_fuscoauratus,1,U,Brazil,RR,Serra_da_Maroquinha,2.3714,-61.376,Accurate_from_collector,Miguel_Trefaut_Rodrigues
MTR23156,Anolis,fuscoauratus,Anolis_fuscoauratus,1,U,Brazil,RR,Serra_da_Maroquinha,2.3714,-61.376,Accurate_from_collector,Miguel_Trefaut_Rodrigues
MTR24119,Anolis,fuscoauratus,Anolis_fuscoauratus,1,U,Brazil,AP,Oiapoque,3.8794,-51.771,Approximate_from_collector,Miguel_Trefaut_Rodrigues
MTR24137,Anolis,fuscoauratus,Anolis_fuscoauratus,1,U,Brazil,AP,Oiapoque,3.8794,-51.771,Accurate_from_collector,Miguel_Trefaut_Rodrigues
MTR24167,Anolis,fuscoauratus,Anolis_fuscoauratus,1,U,Brazil,AP,Oiapoque,3.8794,-51.771,Approximate_from_collector,Miguel_Trefaut_Rodrigues
MTR25524,Anolis,fuscoauratus,Anolis_fuscoauratus,1,U,Brazil,RO,PN_Pacaas_Novos,-10.7692,-63.6225,Approximate_from_collector,Ivan_Prates
MTR25537,Anolis,fuscoauratus,Anolis_fuscoauratus,1,U,Brazil,RO,PN_Pacaas_Novos,-10.7692,-63.6225,Accurate_from_collector,Ivan_Prates
MTR25538,Anolis,fuscoauratus,Anolis_fuscoauratus,1,U,Brazil,RO,PN_Pacaas_Novos,-10.7692,-63.6225,Accurate_from_collector,Ivan_Prates
MTR25597,Anolis,fuscoauratus,Anolis_fuscoauratus,1,U,Brazil,RO,PN_Pacaas_Novos,-10.7692,-63.6225,Approximate_from_collector,Ivan_Prates
MTR25668,Anolis,fuscoauratus,Anolis_fuscoauratus,1,U,Brazil,RO,PN_Pacaas_Novos,-10.7692,-63.6225,Approximate_from_collector,Ivan_Prates
MTR25978,Anolis,fuscoauratus,Anolis_fuscoauratus,2,G,Brazil,RO,PN_Pacaas_Novos_base_Jaci,-10.5275,-63.9734,Accurate_from_collector,Ivan_Prates
MTR25984,Anolis,fuscoauratus,Anolis_fuscoauratus,2,G,Brazil,RO,PN_Pacaas_Novos_base_Jaci,-10.5275,-63.9734,Accurate_from_collector,Ivan_Prates
MTR25985,Anolis,fuscoauratus,Anolis_fuscoauratus,2,G,Brazil,RO,PN_Pacaas_Novos_base_Jaci,-10.5275,-63.9734,Accurate_from_collector,Ivan_Prates
MTR26007,Anolis,fuscoauratus,Anolis_fuscoauratus,2,G,Brazil,RO,PN_Pacaas_Novos_base_Jaci,-10.5275,-63.9734,Approximate_from_collector,Ivan_Prates
MTR28056,Anolis,fuscoauratus,Anolis_fuscoauratus,2,G,Brazil,AC,Serra_do_Divisor_Pe_da_Serra,-7.4398,-73.6594,Approximate_from_collector,Ivan_Prates
MTR28194,Anolis,fuscoauratus,Anolis_fuscoauratus,2,G,Brazil,AC,Serra_do_Divisor_Pe_da_Serra,-7.4398,-73.6594,Approximate_from_collector,Ivan_Prates
MTR28201,Anolis,fuscoauratus,Anolis_fuscoauratus,2,G,Brazil,AC,Serra_do_Divisor_Pe_da_Serra,-7.4398,-73.6594,Approximate_from_collector,Ivan_Prates
MTR28206,Anolis,fuscoauratus,Anolis_fuscoauratus,2,G,Brazil,AC,Serra_do_Divisor_Pe_da_Serra,-7.4398,-73.6594,Approximate_from_collector,Ivan_Prates
MTR28368,Anolis,fuscoauratus,Anolis_fuscoauratus,1,U,Brazil,AC,Serra_do_Divisor_face_Oeste,-7.5031,-73.7208,Accurate_from_collector,Ivan_Prates
MTR28392,Anolis,fuscoauratus,Anolis_fuscoauratus,1,U,Brazil,AC,Serra_do_Divisor_face_Oeste,-7.5031,-73.7208,Approximate_from_collector,Ivan_Prates
MTR28393,Anolis,fuscoauratus,Anolis_fuscoauratus,1,U,Brazil,AC,Serra_do_Divisor_face_Oeste,-7.5031,-73.7208,Approximate_from_collector,Ivan_Prates
MTR28413,Anolis,fuscoauratus,Anolis_fuscoauratus,1,U,Brazil,AC,Serra_do_Divisor_face_Oeste,-7.5031,-73.7208,Approximate_from_collector,Ivan_Prates
MTR28414,Anolis,fuscoauratus,Anolis_fuscoauratus,1,U,Brazil,AC,Serra_do_Divisor_face_Oeste,-7.5031,-73.7208,Approximate_from_collector,Ivan_Prates
MTR28534,Anolis,fuscoauratus,Anolis_fuscoauratus,2,P,Brazil,AM,Boca_do_Acre_ramal_bode_preto,-9.005,-67.1815,Approximate_from_collector,Ivan_Prates
MTR28535,Anolis,fuscoauratus,Anolis_fuscoauratus,2,P,Brazil,AM,Boca_do_Acre_ramal_bode_preto,-9.005,-67.1815,Accurate_from_collector,Ivan_Prates
MTR28538,Anolis,fuscoauratus,Anolis_fuscoauratus,2,P,Brazil,AM,Boca_do_Acre_ramal_bode_preto,-9.005,-67.1815,Approximate_from_collector,Ivan_Prates
MTR28563,Anolis,fuscoauratus,Anolis_fuscoauratus,2,P,Brazil,AM,Boca_do_Acre_ramal_Cruzeirinho,-8.7598,-67.3089,Accurate_from_collector,Ivan_Prates
MTR28564,Anolis,fuscoauratus,Anolis_fuscoauratus,2,P,Brazil,AM,Boca_do_Acre_ramal_Cruzeirinho,-8.7598,-67.3089,Accurate_from_collector,Ivan_Prates
MTR28565,Anolis,fuscoauratus,Anolis_fuscoauratus,2,P,Brazil,AM,Boca_do_Acre_ramal_Cruzeirinho,-8.7598,-67.3089,Accurate_from_collector,Ivan_Prates
MTR28576,Anolis,fuscoauratus,Anolis_fuscoauratus,2,P,Brazil,AC,Senador_Guiomard_Fazenda_Experimental_Catuaba,-10.0834,-67.6278,Accurate_from_collector,Ivan_Prates
MTR28577,Anolis,fuscoauratus,Anolis_fuscoauratus,2,P,Brazil,AC,Senador_Guiomard_Fazenda_Experimental_Catuaba,-10.0834,-67.6278,Accurate_from_collector,Ivan_Prates
MTR28578,Anolis,fuscoauratus,Anolis_fuscoauratus,2,P,Brazil,AC,Senador_Guiomard_Fazenda_Experimental_Catuaba,-10.0834,-67.6278,Approximate_from_collector,Ivan_Prates
MTR28579,Anolis,fuscoauratus,Anolis_fuscoauratus,2,P,Brazil,AC,Senador_Guiomard_Fazenda_Experimental_Catuaba,-10.0834,-67.6278,Approximate_from_collector,Ivan_Prates
MTR28680,Anolis,fuscoauratus,Anolis_fuscoauratus,1,U,Brazil,AM,FLONA_Humaita_Igarape_Buiussu,-7.616,-62.8833,Accurate_from_collector,Ivan_Prates
