ID,genus,species,genus_species,dewlap_known,dewlap_group,country,state,locality,latitude,longitude,georeference_status,georeference_source
MTR33060,Anolis,fuscoauratus,Anolis_fuscoauratus,1,U,Brazil,BA,Canavieiras,-15.6805,-38.9965,Accurate_from_collector,Miguel_Trefaut_Rodrigues
MTR33061,Anolis,fuscoauratus,Anolis_fuscoauratus,1,U,Brazil,BA,Canavieiras,-15.6805,-38.9965,Accurate_from_collector,Miguel_Trefaut_Rodrigues
MTR33063,Anolis,fuscoauratus,Anolis_fuscoauratus,1,U,Brazil,BA,Canavieiras,-15.6805,-38.9965,Accurate_from_collector,Miguel_Trefaut_Rodrigues
MTR33431,Anolis,fuscoauratus,Anolis_fuscoauratus,1,U,Brazil,BA,PE_serra_do_Conduru,-14.4967,-39.1336,Approximate_from_collector,Miguel_Trefaut_Rodrigues
MTR34156,Anolis,fuscoauratus,Anolis_fuscoauratus,2,Y,Brazil,BA,Barrolandia_EE_Gregorio_Bondar_CEPLAN,-16.0942,-39.2157,Approximate_from_collector,Miguel_Trefaut_Rodrigues
MTR34236,Anolis,fuscoauratus,Anolis_fuscoauratus,2,Y,Brazil,BA,Barrolandia_EE_Gregorio_Bondar_CEPLAN,-16.0942,-39.2157,Accurate_from_collector,Miguel_Trefaut_Rodrigues
MTR34394,Anolis,fuscoauratus,Anolis_fuscoauratus,1,U,Brazil,BA,Porto_Seguro_Estacao_Veracel,-16.3539,-39.1351,Accurate_from_collector,Miguel_Trefaut_Rodrigues
MTR34395,Anolis,fuscoauratus,Anolis_fuscoauratus,1,U,Brazil,BA,Porto_Seguro_Estacao_Veracel,-16.3539,-39.1351,Accurate_from_collector,Miguel_Trefaut_Rodrigues
MTR34472,Anolis,fuscoauratus,Anolis_fuscoauratus,2,Y,Brazil,BA,Barrolandia_EE_Gregorio_Bondar_CEPLAN,-16.0942,-39.2157,Approximate_from_collector,Miguel_Trefaut_Rodrigues
MTR34501,Anolis,fuscoauratus,Anolis_fuscoauratus,1,U,Brazil,BA,Itapebi_Fazenda_Boa_Sorte,-15.89,-39.5308,Accurate_from_collector,Miguel_Trefaut_Rodrigues
MTR34595,Anolis,fuscoauratus,Anolis_fuscoauratus,1,U,Brazil,BA,Santa_Maria_Eterna_Lagoa_do_Jacare,-15.936,-39.5266,Approximate_from_collector,Miguel_Trefaut_Rodrigues
MTR35000,Anolis,fuscoauratus,Anolis_fuscoauratus,1,U,Brazil,BA,PE_serra_do_Conduru,-14.4967,-39.1336,Accurate_from_collector,Miguel_Trefaut_Rodrigues
MTR35696,Anolis,fuscoauratus,Anolis_fuscoauratus,2,G,Brazil,AM,Alvaraes,-3.2103,-64.8053,Accurate_from_collector,Miguel_Trefaut_Rodrigues
MTR35697,Anolis,fuscoauratus,Anolis_fuscoauratus,2,G,Brazil,AM,Alvaraes,-3.2103,-64.8053,Accurate_from_collector,Miguel_Trefaut_Rodrigues
MTR35698,Anolis,fuscoauratus,Anolis_fuscoauratus,2,G,Brazil,AM,Alvaraes,-3.2103,-64.8053,Accurate_from_collector,Miguel_Trefaut_Rodrigues
MTR35702,Anolis,fuscoauratus,Anolis_fuscoauratus,2,G,Brazil,AM,Alvaraes,-3.2103,-64.8053,Accurate_from_collector,Miguel_Trefaut_Rodrigues
MTR35709,Anolis,fuscoauratus,Anolis_fuscoauratus,2,G,Brazil,AM,Alvaraes,-3.2103,-64.8053,Accurate_from_collector,Miguel_Trefaut_Rodrigues
MTR35861,Anolis,fuscoauratus,Anolis_fuscoauratus,2,P,Brazil,AM,Rio_Ica_Comunidade_Cachoeirinha,-2.8842,-68.3499,Approximate_from_collector,Miguel_Trefaut_Rodrigues
MTR35895,Anolis,fuscoauratus,Anolis_fuscoauratus,2,P,Brazil,AM,Rio_Ica_Comunidade_Cachoeirinha,-2.8842,-68.3499,Approximate_from_collector,Miguel_Trefaut_Rodrigues
MTR35939,Anolis,fuscoauratus,Anolis_fuscoauratus,2,P,Brazil,AM,Rio_Ica_Comunidade_Cachoeirinha,-2.8842,-68.3499,Accurate_from_collector,Miguel_Trefaut_Rodrigues
MTR35968,Anolis,fuscoauratus,Anolis_fuscoauratus,2,P,Brazil,AM,Rio_Ica_Comunidade_Cachoeirinha,-2.8842,-68.3499,Approximate_from_collector,Miguel_Trefaut_Rodrigues
MTR36074,Anolis,fuscoauratus,Anolis_fuscoauratus,1,U,Brazil,AM,Rio_Ica_Comunidade_Cuiaua,-2.8836,-68.3677,Accurate_from_collector,Miguel_Trefaut_Rodrigues
MTR36086,Anolis,fuscoauratus,Anolis_fuscoauratus,1,U,Brazil,AM,Rio_Ica_Acai,-2.9049,-68.3398,Accurate_from_collector,Miguel_Trefaut_Rodrigues
MTR36139,Anolis,fuscoauratus,Anolis_fuscoauratus,1,U,Brazil,AM,Rio_Ica_Acai,-2.9049,-68.3398,Approximate_from_collector,Miguel_Trefaut_Rodrigues
MTR36275,Anolis,fuscoauratus,Anolis_fuscoauratus,2,P,Brazil,AM,Rio_Ica_Comunidade_Cachoeirinha,-2.8842,-68.3499,Approximate_from_collector,Miguel_Trefaut_Rodrigues
MTR36477,Anolis,fuscoauratus,Anolis_fuscoauratus,2,G,Brazil,AM,Rio_Ica_Sao_Pedro,-3.0286,-68.8826,Accurate_from_collector,Miguel_Trefaut_Rodrigues
MTR36540,Anolis,fuscoauratus,Anolis_fuscoauratus,2,G,Brazil,AM,Rio_Ica_Sao_Pedro,-3.0286,-68.8826,Approximate_from_collector,Miguel_Trefaut_Rodrigues
MTR36731,Anolis,fuscoauratus,Anolis_fuscoauratus,2,G,Brazil,AM,Rio_Ica_Sao_Pedro,-3.0286,-68.8826,Approximate_from_collector,Miguel_Trefaut_Rodrigues
MTR36732,Anolis,fuscoauratus,Anolis_fuscoauratus,2,G,Brazil,AM,Rio_Ica_Sao_Pedro,-3.0286,-68.8826,Approximate_from_collector,Miguel_Trefaut_Rodrigues
MTR36746,Anolis,fuscoauratus,Anolis_fuscoauratus,2,G,Brazil,AM,Rio_Ica_Sao_Pedro,-3.0286,-68.8826,Accurate_from_collector,Miguel_Trefaut_Rodrigues
MTR36819,Anolis,fuscoauratus,Anolis_fuscoauratus,2,Y,Brazil,AM,Fonte_Boa,-2.528,-66.162,Approximate_from_collector,Miguel_Trefaut_Rodrigues
MTR36859,Anolis,fuscoauratus,Anolis_fuscoauratus,2,Y,Brazil,AM,Fonte_Boa,-2.528,-66.162,Approximate_from_collector,Miguel_Trefaut_Rodrigues
MTR36879,Anolis,fuscoauratus,Anolis_fuscoauratus,2,Y,Brazil,AM,Fonte_Boa,-2.528,-66.162,Accurate_from_collector,Miguel_Trefaut_Rodrigues
MTR36939,Anolis,fuscoauratus,Anolis_fuscoauratus,2,Y,Brazil,AM,Tefe,-3.449,-64.6831,Accurate_from_collector,Miguel_Trefaut_Rodrigues
MTR36940,Anolis,fuscoauratus,Anolis_fuscoauratus,2,Y,Brazil,AM,Tefe,-3.449,-64.6831,Accurate_from_collector,Miguel_Trefaut_Rodrigues
MTR36941,Anolis,fuscoauratus,Anolis_fuscoauratus,2,Y,Brazil,AM,Tefe,-3.449,-64.6831,Accurate_from_collector,Miguel_Trefaut_Rodrigues
MTR36942,Anolis,fuscoauratus,Anolis_fuscoauratus,2,Y,Brazil,AM,Tefe,-3.449,-64.6831,Accurate_from_collector,Miguel_Trefaut_Rodrigues
MTR36971,Anolis,fuscoauratus,Anolis_fuscoauratus,2,P,Brazil,AM,Coari,-4.0868,-63.0968,Accurate_from_collector,Miguel_Trefaut_Rodrigues
MTR37027,Anolis,fuscoauratus,Anolis_fuscoauratus,2,P,Brazil,AM,Coari,-4.0868,-63.0968,Approximate_from_collector,Miguel_Trefaut_Rodrigues
MTR37287,Anolis,fuscoauratus,Anolis_fuscoauratus,2,Y,Brazil,ES,Santa_Teresa,-19.9654,-40.531,Accurate_from_collector,Miguel_Trefaut_Rodrigues
MTR40119,Anolis,fuscoauratus,Anolis_fuscoauratus,2,P,Brazil,AM,Maturaca,0.6251,-66.1329,Accurate_from_collector,Miguel_Trefaut_Rodrigues
MTR40374,Anolis,fuscoauratus,Anolis_fuscoauratus,2,P,Brazil,AM,Maturaca,0.6251,-66.1329,Approximate_from_collector,Miguel_Trefaut_Rodrigues
MTR40382,Anolis,fuscoauratus,Anolis_fuscoauratus,2,P,Brazil,AM,Maturaca,0.6251,-66.1329,Approximate_from_collector,Miguel_Trefaut_Rodrigues
MTR40847,Anolis,fuscoauratus,Anolis_fuscoauratus,2,G,Brazil,AM,Cacauali,-1.4325,-61.8267,Accurate_from_collector,Ivan_Prates
MTR40904,Anolis,fuscoauratus,Anolis_fuscoauratus,2,G,Brazil,AM,Cacauali,-1.4325,-61.8267,Accurate_from_collector,Ivan_Prates
MTR40906,Anolis,fuscoauratus,Anolis_fuscoauratus,2,G,Brazil,AM,Cacauali,-1.4325,-61.8267,Approximate_from_collector,Ivan_Prates
MTR40916,Anolis,fuscoauratus,Anolis_fuscoauratus,2,G,Brazil,AM,Cacauali,-1.4325,-61.8267,Approximate_from_collector,Ivan_Prates
MTR41431,Anolis,fuscoauratus,Anolis_fuscoauratus,1,U,Brazil,AM,Rio_Inhambu,-0.2334,-65.4168,Approximate_from_online_source,Google_Maps
MTR41440,Anolis,fuscoauratus,Anolis_fuscoauratus,1,U,Brazil,AM,Rio_Inhambu,-0.2334,-65.4168,Approximate_from_online_source,Google_Maps
MTR41563,Anolis,fuscoauratus,Anolis_fuscoauratus,2,G,Brazil,AM,Cacauali,-1.4325,-61.8267,Approximate_from_collector,Ivan_Prates
MTR967911,Anolis,fuscoauratus,Anolis_fuscoauratus,1,U,Brazil,MT,Aripuana,-9.8603,-60.2631,Approximate_from_collector,Miguel_Trefaut_Rodrigues
MTR977706,Anolis,fuscoauratus,Anolis_fuscoauratus,1,U,Brazil,MT,Aripuana,-9.8603,-60.2631,Approximate_from_collector,Miguel_Trefaut_Rodrigues
PEU488,Anolis,fuscoauratus,Anolis_fuscoauratus,1,U,Brazil,BA,Ilheus,-14.7972,-39.0344,Approximate_from_collector,Miguel_Trefaut_Rodrigues
PRMS498,Anolis,fuscoauratus,Anolis_fuscoauratus,2,P,Brazil,AC,Senador_Guiomard_Fazenda_Experimental_Catuaba,-10.0834,-67.6278,Approximate_from_collector,Ivan_Prates
PRMS499,Anolis,fuscoauratus,Anolis_fuscoauratus,2,P,Brazil,AC,Senador_Guiomard_Fazenda_Experimental_Catuaba,-10.0834,-67.6278,Approximate_from_collector,Ivan_Prates
PRMS501,Anolis,fuscoauratus,Anolis_fuscoauratus,2,P,Brazil,AC,Senador_Guiomard_Fazenda_Experimental_Catuaba,-10.0834,-67.6278,Approximate_from_collector,Ivan_Prates
PRMS525,Anolis,fuscoauratus,Anolis_fuscoauratus,2,Y,Brazil,AC,Porto_Acre_Reserva_Florestal_Humaita,-9.7445,-67.6784,Approximate_from_collector,Ivan_Prates
PRMS528,Anolis,fuscoauratus,Anolis_fuscoauratus,2,Y,Brazil,AC,Porto_Acre_Reserva_Florestal_Humaita,-9.7445,-67.6784,Approximate_from_collector,Ivan_Prates
PRMS530,Anolis,fuscoauratus,Anolis_fuscoauratus,2,Y,Brazil,AC,Porto_Acre_Reserva_Florestal_Humaita,-9.7445,-67.6784,Accurate_from_collector,Ivan_Prates
PRMS538,Anolis,fuscoauratus,Anolis_fuscoauratus,2,Y,Brazil,AC,Porto_Acre_Reserva_Florestal_Humaita,-9.7445,-67.6784,Approximate_from_collector,Ivan_Prates
PRMS539,Anolis,fuscoauratus,Anolis_fuscoauratus,2,Y,Brazil,AC,Porto_Acre_Reserva_Florestal_Humaita,-9.7445,-67.6784,Approximate_from_collector,Ivan_Prates
PRMS587,Anolis,fuscoauratus,Anolis_fuscoauratus,2,Y,Brazil,AC,Rio_Branco_Parque_Zoobotanico,-9.9561,-67.8725,Accurate_from_collector,Ivan_Prates
PRMS588,Anolis,fuscoauratus,Anolis_fuscoauratus,2,Y,Brazil,AC,Rio_Branco_Parque_Zoobotanico,-9.9561,-67.8725,Accurate_from_collector,Ivan_Prates
PRMS589,Anolis,fuscoauratus,Anolis_fuscoauratus,2,Y,Brazil,AC,Rio_Branco_Parque_Zoobotanico,-9.9561,-67.8725,Accurate_from_collector,Ivan_Prates
PRMS590,Anolis,fuscoauratus,Anolis_fuscoauratus,2,Y,Brazil,AC,Rio_Branco_Parque_Zoobotanico,-9.9561,-67.8725,Accurate_from_collector,Ivan_Prates
PRMS700,Anolis,fuscoauratus,Anolis_fuscoauratus,2,Y,Brazil,AC,Rio_Branco_Parque_Zoobotanico,-9.9561,-67.8725,Approximate_from_collector,Ivan_Prates
PRMS734,Anolis,fuscoauratus,Anolis_fuscoauratus,2,G,Brazil,AC,Mancio_Lima_Estrada_do_Lixao,-7.6813,-72.9688,Accurate_from_collector,Ivan_Prates
PRMS751,Anolis,fuscoauratus,Anolis_fuscoauratus,2,G,Brazil,AC,Mancio_Lima_Estrada_do_Lixao,-7.6813,-72.9688,Approximate_from_collector,Ivan_Prates
PRMS766,Anolis,fuscoauratus,Anolis_fuscoauratus,2,G,Brazil,AC,Cruzeiro_do_Sul_Vila_de_Sao_Pedro,-7.7014,-72.7413,Accurate_from_collector,Ivan_Prates
PRMS767,Anolis,fuscoauratus,Anolis_fuscoauratus,2,G,Brazil,AC,Cruzeiro_do_Sul_Vila_de_Sao_Pedro,-7.7014,-72.7413,Accurate_from_collector,Ivan_Prates
PRMS768,Anolis,fuscoauratus,Anolis_fuscoauratus,2,G,Brazil,AC,Cruzeiro_do_Sul_Vila_de_Sao_Pedro,-7.7014,-72.7413,Accurate_from_collector,Ivan_Prates
PRMS769,Anolis,fuscoauratus,Anolis_fuscoauratus,2,G,Brazil,AC,Cruzeiro_do_Sul_Vila_de_Sao_Pedro,-7.7014,-72.7413,Accurate_from_collector,Ivan_Prates
PRMS795,Anolis,fuscoauratus,Anolis_fuscoauratus,2,G,Brazil,AC,Mancio_Lima_Estrada_BR307_limite_Acre_Amazonas,-7.3857,-73.0627,Accurate_from_collector,Ivan_Prates
PRMS796,Anolis,fuscoauratus,Anolis_fuscoauratus,2,G,Brazil,AC,Mancio_Lima_Estrada_BR307_limite_Acre_Amazonas,-7.3857,-73.0627,Accurate_from_collector,Ivan_Prates
PRMS799,Anolis,fuscoauratus,Anolis_fuscoauratus,2,G,Brazil,AC,Mancio_Lima_Estrada_BR307_limite_Acre_Amazonas,-7.3857,-73.0627,Accurate_from_collector,Ivan_Prates
PRMS845,Anolis,fuscoauratus,Anolis_fuscoauratus,2,P,Brazil,AC,Cruzeiro_do_Sul_Programa_de_Assentamento_Dirigido_Santa_Luzia,-7.8639,-72.417,Approximate_from_collector,Ivan_Prates
PRMS852,Anolis,fuscoauratus,Anolis_fuscoauratus,2,P,Brazil,AC,Cruzeiro_do_Sul_Programa_de_Assentamento_Dirigido_Santa_Luzia,-7.8639,-72.417,Approximate_from_collector,Ivan_Prates
PRMS859,Anolis,fuscoauratus,Anolis_fuscoauratus,2,P,Brazil,AC,Cruzeiro_do_Sul_Programa_de_Assentamento_Dirigido_Santa_Luzia,-7.8639,-72.417,Accurate_from_collector,Ivan_Prates
PRMS860,Anolis,fuscoauratus,Anolis_fuscoauratus,2,P,Brazil,AC,Cruzeiro_do_Sul_Programa_de_Assentamento_Dirigido_Santa_Luzia,-7.8639,-72.417,Accurate_from_collector,Ivan_Prates
RF23,Anolis,fuscoauratus,Anolis_fuscoauratus,1,U,Brazil,AM,Silves,-2.8308,-58.2154,Accurate_from_collector,Miguel_Trefaut_Rodrigues
RF73,Anolis,fuscoauratus,Anolis_fuscoauratus,1,U,Brazil,AM,Itapiranga,-2.7434,-58.1763,Accurate_from_collector,Miguel_Trefaut_Rodrigues
SMS473,Anolis,fuscoauratus,Anolis_fuscoauratus,1,U,Brazil,PA,Itaituba_FLONA_do_Trairao_Ramal_do_80,-4.5251,-55.2401,Accurate_from_collector,Sergio_Marques_de_Souza
SMS608,Anolis,fuscoauratus,Anolis_fuscoauratus,1,U,Brazil,AM,Sao_Sebastiao_dos_Bargas,-3.7894,-59.034,Accurate_from_collector,Sergio_Marques_de_Souza
SMS941,Anolis,fuscoauratus,Anolis_fuscoauratus,1,U,Brazil,RR,Iracema_Serra_do_Apiau,2.4334,-61.4138,Accurate_from_collector,Miguel_Trefaut_Rodrigues
SMS963,Anolis,fuscoauratus,Anolis_fuscoauratus,1,U,Brazil,RR,Iracema_Serra_do_Apiau,2.4334,-61.4138,Approximate_from_collector,Miguel_Trefaut_Rodrigues
